channel,integral,time
5,1207.9231,3787286262.1798105
4,894.76245,3787286262.1820383
4,1888.3263,3787286262.1870522
4,1178.5988,3787286262.18915
4,555.25226,3787286262.189379
5,1174.2867,3787286262.190274
5,1692.3427,3787286262.192488
5,998.64886,3787286262.1937366
4,1506.2634,3787286262.194444
4,405.81677,3787286262.1983986
5,350.98093,3787286262.2034764
4,829.42993,3787286262.207959
5,334.16275,3787286262.207959
5,1247.9503,3787286262.211171
5,1324.8655,3787286262.2163463
4,725.1896,3787286262.218774
4,1202.1986,3787286262.222452
5,981.1019,3787286262.222754
5,849.92017,3787286262.231403
4,787.24176,3787286262.2348437
5,1148.667,3787286262.258123
5,939.9534,3787286262.2581353
4,925.5607,3787286262.2582297
5,940.7383,3787286262.2605677
4,919.8202,3787286262.271533
5,1334.3397,3787286262.2825236
5,1194.861,3787286262.2865157
4,626.6897,3787286262.289972
4,1335.7794,3787286262.293596
4,554.7967,3787286262.2936764
5,1289.7155,3787286262.2940574
5,726.19446,3787286262.301366
5,261.56427,3787286262.31111
5,1540.4185,3787286262.3129725
4,1204.6588,3787286262.3132486
5,792.5141,3787286262.324364
4,679.44775,3787286262.324499
4,889.75085,3787286262.327171
4,8599.984,3787286262.3274064
5,689.75507,3787286262.342277
4,430.96567,3787286262.342277
5,443.42484,3787286262.3424134
5,1497.0275,3787286262.3450556
5,292.5658,3787286262.3510056
4,676.8964,3787286262.3529873
4,1154.4521,3787286262.358405
4,684.27704,3787286262.366769
5,938.2156,3787286262.366769
4,1951.563,3787286262.384385
4,693.2067,3787286262.387996
4,489.0997,3787286262.4045
4,1435.5549,3787286262.4084086
4,732.6614,3787286262.40892
5,398.74454,3787286262.416425
5,334.27487,3787286262.419497
5,1091.4292,3787286262.4242635
4,934.3993,3787286262.433753
4,1463.4374,3787286262.4372644
5,455.75815,3787286262.437675
4,1172.2205,3787286262.440242
4,1167.0266,3787286262.440875
5,2292.7515,3787286262.4696054
4,480.26114,3787286262.4713893
4,844.3735,3787286262.47619
5,1140.7064,3787286262.47619
5,933.2822,3787286262.482267
4,1439.8375,3787286262.487738
5,850.76105,3787286262.4894543
5,1158.7579,3787286262.4948325
4,731.1123,3787286262.497599
5,1056.5594,3787286262.5006576
5,1139.9216,3787286262.5042973
5,1172.3806,3787286262.506229
5,267.5067,3787286262.508546
5,1336.3579,3787286262.5106697
4,911.8928,3787286262.513836
4,764.8264,3787286262.516761
5,353.1673,3787286262.5231586
5,1549.0518,3787286262.5315022
5,897.51556,3787286262.5330925
5,371.3309,3787286262.5407805
5,1920.5092,3787286262.5574636
4,1191.3555,3787286262.561777
5,1139.361,3787286262.5642405
4,1544.6246,3787286262.565487
4,416.56882,3787286262.5687504
5,549.54755,3787286262.5687504
4,560.81055,3787286262.5734434
4,1350.6318,3787286262.5736537
5,1270.767,3787286262.579075
5,368.02335,3787286262.582023
5,423.80362,3787286262.5832195
4,1179.7833,3787286262.583357
5,1732.3138,3787286262.5837483
4,1959.1259,3787286262.5900283
4,1170.6714,3787286262.5941377
5,1329.1261,3787286262.5941377
4,1538.6107,3787286262.599071
5,874.92316,3787286262.599071
5,1201.1398,3787286262.6048203
4,661.315,3787286262.606034
5,988.8383,3787286262.606239
4,1282.019,3787286262.610098
5,1177.4822,3787286262.616123
5,817.06866,3787286262.621508
5,928.6853,3787286262.6242156
4,1327.3053,3787286262.6269817
5,284.437,3787286262.6297994
4,1188.8041,3787286262.6326747
5,1180.2852,3787286262.637179
4,968.0223,3787286262.637179
4,619.8558,3787286262.638066
4,1329.9478,3787286262.640569
5,1196.6549,3787286262.640569
5,1334.5079,3787286262.6409593
5,1158.7579,3787286262.6431146
4,755.1678,3787286262.656772
5,414.55362,3787286262.6591177
5,2150.3577,3787286262.667443
4,764.00635,3787286262.66962
5,1128.5413,3787286262.6719785
5,504.53088,3787286262.68327
4,1334.5037,3787286262.688978
5,1414.5624,3787286262.7001843
5,1057.6246,3787286262.708092
5,1317.4655,3787286262.7107882
5,1382.1033,3787286262.7191877
4,1915.2975,3787286262.7250423
4,1354.2766,3787286262.7276216
5,802.71716,3787286262.7276216
5,663.3505,3787286262.7280784
4,1157.1858,3787286262.7296405
5,1353.4563,3787286262.7296405
4,1998.0338,3787286262.7380915
4,758.0836,3787286262.7386947
5,579.4278,3787286262.7406344
4,1696.8848,3787286262.749358
5,1339.8336,3787286262.7502546
5,1151.9186,3787286262.750404
5,1344.0382,3787286262.75332
4,1207.2102,3787286262.759071
5,1168.0079,3787286262.762966
4,1161.1039,3787286262.7649975
5,821.2171,3787286262.769161
4,652.112,3787286262.7696147
5,1366.7988,3787286262.7696147
4,1338.6952,3787286262.7702117
5,773.1171,3787286262.7702117
5,677.36566,3787286262.77083
5,2534.6528,3787286262.774242
4,513.793,3787286262.7759748
4,1024.0605,3787286262.776769
4,1355.37,3787286262.780589
4,1454.5077,3787286262.7821627
5,235.49611,3787286262.7821627
5,1149.9004,3787286262.782731
4,733.937,3787286262.788831
5,836.0732,3787286262.788831
5,1119.4595,3787286262.7908273
4,980.87006,3787286262.792391
5,1283.9973,3787286262.792391
4,1069.9846,3787286262.798901
4,619.0357,3787286262.804495
4,955.8123,3787286262.8135676
5,446.11572,3787286262.815917
4,910.2527,3787286262.8159757
4,1578.521,3787286262.8160796
5,861.63684,3787286262.8160796
4,706.05457,3787286262.820266
5,311.12186,3787286262.820266
4,1323.8428,3787286262.8218126
5,587.2202,3787286262.8233023
5,1225.5822,3787286262.8276477
4,557.71246,3787286262.8297853
5,694.68835,3787286262.8297853
5,1313.7094,3787286262.8329005
5,1355.5867,3787286262.8370314
4,476.7986,3787286262.8464084
4,732.4791,3787286262.847552
5,911.2504,3787286262.847552
4,1316.7355,3787286262.84814
5,231.51581,3787286262.84814
4,755.8056,3787286262.848234
5,412.25516,3787286262.848234
5,2000.6759,3787286262.853449
4,1166.7533,3787286262.854062
4,731.65906,3787286262.8564863
4,1345.1647,3787286262.858152
5,831.6444,3787286262.861842
5,1136.3337,3787286262.8689413
5,1071.6958,3787286262.871628
4,1359.7438,3787286262.875944
4,567.1889,3787286262.879411
5,983.73676,3787286262.879411
4,1176.2296,3787286262.8796525
5,2359.8,3787286262.8819947
5,984.5777,3787286262.882777
4,520.3536,3787286262.882777
4,1170.9447,3787286262.883365
4,1183.9747,3787286262.88417
4,482.63025,3787286262.884376
4,830.3411,3787286262.889443
4,1145.4314,3787286262.8937
5,756.91565,3787286262.901404
4,1150.7163,3787286262.901404
4,1699.345,3787286262.902347
4,1533.0525,3787286262.9042153
